"host_id","host_url","host_name","num_of_perfect_reviews"
33186190,"https://www.airbnb.com/users/show/33186190","Ferid",37
2751565,"https://www.airbnb.com/users/show/2751565","Volkan",36
18256295,"https://www.airbnb.com/users/show/18256295","Rifat",36
19798022,"https://www.airbnb.com/users/show/19798022","Wonder",36
15895168,"https://www.airbnb.com/users/show/15895168","Fatih",36
407409937,"https://www.airbnb.com/users/show/407409937","Zafer",36
26045721,"https://www.airbnb.com/users/show/26045721","Huseyin Asim",35
229986521,"https://www.airbnb.com/users/show/229986521","Vefa",35
13575621,"https://www.airbnb.com/users/show/13575621","Cihan",35
14468412,"https://www.airbnb.com/users/show/14468412","Umut",35
4137180,"https://www.airbnb.com/users/show/4137180","Ahmet",35
27787812,"https://www.airbnb.com/users/show/27787812","Tevfik",35
81064345,"https://www.airbnb.com/users/show/81064345","Can",35
197416680,"https://www.airbnb.com/users/show/197416680","Emir",35
4511780,"https://www.airbnb.com/users/show/4511780","Tolga",35
16907406,"https://www.airbnb.com/users/show/16907406","Taylan",34
18936021,"https://www.airbnb.com/users/show/18936021","Ergül",34
12207425,"https://www.airbnb.com/users/show/12207425","Serdar",34
62104628,"https://www.airbnb.com/users/show/62104628","Manzara",34
2904049,"https://www.airbnb.com/users/show/2904049","Panaroma",34
320166026,"https://www.airbnb.com/users/show/320166026","Mehmet Faik",34
796792,"https://www.airbnb.com/users/show/796792","Alev",34
43170299,"https://www.airbnb.com/users/show/43170299","Matt",33
3785798,"https://www.airbnb.com/users/show/3785798","Miko And Roza",33
7714907,"https://www.airbnb.com/users/show/7714907","Merve, Arif, Emre",33
46340311,"https://www.airbnb.com/users/show/46340311","Galateia",33
47402343,"https://www.airbnb.com/users/show/47402343","Ali Karatuna",33
21594773,"https://www.airbnb.com/users/show/21594773","Deniz",32
216719223,"https://www.airbnb.com/users/show/216719223","Yakup",32
19320158,"https://www.airbnb.com/users/show/19320158","Okan",32
116103978,"https://www.airbnb.com/users/show/116103978","Ilir",32
319629818,"https://www.airbnb.com/users/show/319629818","İsmet",32
7588677,"https://www.airbnb.com/users/show/7588677","Erhan",32
