"host_id","host_url","host_name","num_of_dirty_reviews"
304106249,"https://www.airbnb.com/users/show/304106249","Murat",2
42816106,"https://www.airbnb.com/users/show/42816106","Sabri",2
431875618,"https://www.airbnb.com/users/show/431875618","Destinia",2
433044748,"https://www.airbnb.com/users/show/433044748","Hilal",2
365410840,"https://www.airbnb.com/users/show/365410840","İlknur",2
245508111,"https://www.airbnb.com/users/show/245508111","Murat",2
291868950,"https://www.airbnb.com/users/show/291868950","Tahir",2
364919825,"https://www.airbnb.com/users/show/364919825","Hakan",2
364671554,"https://www.airbnb.com/users/show/364671554","Levent",2
66017697,"https://www.airbnb.com/users/show/66017697","Sima And Elif",2
324278814,"https://www.airbnb.com/users/show/324278814","Gökhan",2
165765800,"https://www.airbnb.com/users/show/165765800","Sinan",2
437164055,"https://www.airbnb.com/users/show/437164055","Hasret",2
4733924,"https://www.airbnb.com/users/show/4733924","Cesim",2
363428431,"https://www.airbnb.com/users/show/363428431","Mustafa",2
69089629,"https://www.airbnb.com/users/show/69089629","Metin",2
439800512,"https://www.airbnb.com/users/show/439800512","Valeriya",2
41657344,"https://www.airbnb.com/users/show/41657344","Can Serbay",2
362581827,"https://www.airbnb.com/users/show/362581827","Cihan",2
1938185,"https://www.airbnb.com/users/show/1938185","Gurhan",2
319629818,"https://www.airbnb.com/users/show/319629818","İsmet",2
254316878,"https://www.airbnb.com/users/show/254316878","Altuğ",2
361781992,"https://www.airbnb.com/users/show/361781992","Ahmet Cagrı",2
361599493,"https://www.airbnb.com/users/show/361599493","Marouene",2
445467386,"https://www.airbnb.com/users/show/445467386","Volter",2
114166975,"https://www.airbnb.com/users/show/114166975","Gokhan",2
4980245,"https://www.airbnb.com/users/show/4980245","Nelly",2
10629707,"https://www.airbnb.com/users/show/10629707","Mert",2
446441917,"https://www.airbnb.com/users/show/446441917","Cansu",2
257951141,"https://www.airbnb.com/users/show/257951141","Doruk",2
40611120,"https://www.airbnb.com/users/show/40611120","Hande",2
318679765,"https://www.airbnb.com/users/show/318679765","Serhat",2
258350496,"https://www.airbnb.com/users/show/258350496","Zeynep",2
360435323,"https://www.airbnb.com/users/show/360435323","Hasan",2
258814514,"https://www.airbnb.com/users/show/258814514","Salih Buğra",2
359997553,"https://www.airbnb.com/users/show/359997553","Asgar",2
259032796,"https://www.airbnb.com/users/show/259032796","Ramood",2
132151322,"https://www.airbnb.com/users/show/132151322","Hakan",2
358672851,"https://www.airbnb.com/users/show/358672851","Hakkı",2
161177044,"https://www.airbnb.com/users/show/161177044","Özgür",2
1741068,"https://www.airbnb.com/users/show/1741068","Tolga",2
357485008,"https://www.airbnb.com/users/show/357485008","Yusuf",2
261699610,"https://www.airbnb.com/users/show/261699610","Halit",2
355951641,"https://www.airbnb.com/users/show/355951641","Asim",2
7238971,"https://www.airbnb.com/users/show/7238971","Can",2
7164203,"https://www.airbnb.com/users/show/7164203","Eren",2
2769925,"https://www.airbnb.com/users/show/2769925","Pelin",2
15384533,"https://www.airbnb.com/users/show/15384533","Nida",2
76702506,"https://www.airbnb.com/users/show/76702506","İrem",2
264734391,"https://www.airbnb.com/users/show/264734391","Zehra",2
33104525,"https://www.airbnb.com/users/show/33104525","Yavuz",2
310476617,"https://www.airbnb.com/users/show/310476617","Gokce & Mustafa Bugra",2
6971016,"https://www.airbnb.com/users/show/6971016","Cagri",2
582060,"https://www.airbnb.com/users/show/582060","Fernando",2
266024274,"https://www.airbnb.com/users/show/266024274","Murat Şahin",2
266095291,"https://www.airbnb.com/users/show/266095291","Marcel",2
349801204,"https://www.airbnb.com/users/show/349801204","Naci",2
15224334,"https://www.airbnb.com/users/show/15224334","Emrah",2
14873714,"https://www.airbnb.com/users/show/14873714","Oya",2
267313392,"https://www.airbnb.com/users/show/267313392","Ulaş",2
36534433,"https://www.airbnb.com/users/show/36534433","Koray",2
269174334,"https://www.airbnb.com/users/show/269174334","Merve & Ahmet",2
340363616,"https://www.airbnb.com/users/show/340363616","Doğan",2
107744058,"https://www.airbnb.com/users/show/107744058","Yavuz",2
458175686,"https://www.airbnb.com/users/show/458175686","Berk",2
83212413,"https://www.airbnb.com/users/show/83212413","Cihan",2
466302,"https://www.airbnb.com/users/show/466302","Demir",2
2911496,"https://www.airbnb.com/users/show/2911496","Nadira",2
459560791,"https://www.airbnb.com/users/show/459560791","Ömer",2
304448264,"https://www.airbnb.com/users/show/304448264","Harun & Emre",2
36519451,"https://www.airbnb.com/users/show/36519451","Omer",2
338089084,"https://www.airbnb.com/users/show/338089084","Emre",2
688760,"https://www.airbnb.com/users/show/688760","Ali İbrahim",2
109778119,"https://www.airbnb.com/users/show/109778119","Duygu",2
31204048,"https://www.airbnb.com/users/show/31204048","Ceyhan",2
35131712,"https://www.airbnb.com/users/show/35131712","Alev",2
25599170,"https://www.airbnb.com/users/show/25599170","Verda",2
12735350,"https://www.airbnb.com/users/show/12735350","Enes",2
26511605,"https://www.airbnb.com/users/show/26511605","Onur",2
279959618,"https://www.airbnb.com/users/show/279959618","Zehra Elçin",2
34494372,"https://www.airbnb.com/users/show/34494372","Antique",2
94632030,"https://www.airbnb.com/users/show/94632030","Cem",2
330426351,"https://www.airbnb.com/users/show/330426351","Mehmet",2
202245660,"https://www.airbnb.com/users/show/202245660","Musa",2
329284317,"https://www.airbnb.com/users/show/329284317","Efendi",2
390987237,"https://www.airbnb.com/users/show/390987237","Emre",2
392186832,"https://www.airbnb.com/users/show/392186832","Muhammed Talha",2
46602896,"https://www.airbnb.com/users/show/46602896","Aren",2
18145071,"https://www.airbnb.com/users/show/18145071","Erdem",2
394858049,"https://www.airbnb.com/users/show/394858049","Mevlud",2
206624298,"https://www.airbnb.com/users/show/206624298","Firez",2
7902155,"https://www.airbnb.com/users/show/7902155","Kubilay",2
283866489,"https://www.airbnb.com/users/show/283866489","Stay Lab",2
328936513,"https://www.airbnb.com/users/show/328936513","Serhat",2
389211368,"https://www.airbnb.com/users/show/389211368","Taner",2
466392755,"https://www.airbnb.com/users/show/466392755","Sercan",2
214808770,"https://www.airbnb.com/users/show/214808770","Malik Satılmıs",2
19597425,"https://www.airbnb.com/users/show/19597425","Fuad",2
216066129,"https://www.airbnb.com/users/show/216066129","Ahmet",2
406572387,"https://www.airbnb.com/users/show/406572387","Galata",2
196206522,"https://www.airbnb.com/users/show/196206522","Yücel",2
407606053,"https://www.airbnb.com/users/show/407606053","Ying Shan",2
